;Percussive Organ
R 0 2
G4 15 1342
R 0 2
F4 15 14
R 0 10
G4 15 14
R 0 10
Ab4 15 14
R 0 10
A4 15 14
R 0 10
Bb4 15 14
R 0 10
B4 15 14
R 0 10
C5 15 14
R 0 10
Db5 15 14
R 0 10
D5 15 286
R 0 2
C5 15 286
R 0 2
Bb4 15 190
R 0 2
D4 15 286
R 0 2
F4 15 286
R 0 2
G4 15 190
R 0 2
A4 15 1534
R 0 2
Eb4 15 190
R 0 2
Eb4 15 94
R 0 2
Eb4 15 190
R 0 2
Eb4 15 94
R 0 2
Eb4 15 574
R 0 2
Eb4 15 190
R 0 2
F4 15 190
R 0 2
G4 15 190
R 0 2
G4 15 94
R 0 2
G4 15 190
R 0 2
G4 15 94
R 0 2
G4 15 766
R 0 194
Eb4 15 286
R 0 2
Gb4 15 286
R 0 2
A4 15 286
R 0 2
C5 15 286
R 0 2
Eb5 15 190
R 0 2
Gb5 15 190
R 0 2
F5 15 94
R 0 2
E5 15 46
R 0 2
Eb5 15 46
R 0 2
D5 15 46
R 0 2
Db5 15 46
R 0 2
C5 15 46
R 0 2
B4 15 46
R 0 2
Bb4 15 46
R 0 2
A4 15 46
R 0 2
Ab4 15 46
R 0 2
G4 15 46
R 0 2
Gb4 15 46
R 0 2
F4 15 46
R 0 2
E4 15 46
R 0 2
Eb4 15 46
R 0 2
G3 15 190
R 0 2
F3 15 190
R 0 2
Eb3 15 190
R 0 2
D3 15 190
R 0 2
C5 15 190
R 0 2
B4 15 46
R 0 146
Bb4 15 190
R 0 2
B4 15 46
R 0 146
C5 15 46
R 0 2
Ab4 15 46
R 0 2
Eb4 15 46
R 0 2
Ab4 15 46
R 0 2
B4 15 46
R 0 2
G4 15 46
R 0 2
D4 15 46
R 0 2
G4 15 46
R 0 2
Bb4 15 46
R 0 2
Gb4 15 46
R 0 2
Db4 15 46
R 0 2
Gb4 15 46
R 0 2
B4 15 46
R 0 146
Eb5 15 46
R 0 2
C5 15 46
R 0 2
G4 15 46
R 0 2
C5 15 46
R 0 2
D5 15 46
R 0 2
Bb4 15 46
R 0 2
F4 15 46
R 0 2
Bb4 15 46
R 0 2
C5 15 46
R 0 2
Ab4 15 46
R 0 2
Eb4 15 46
R 0 2
Ab4 15 46
R 0 2
B4 15 46
R 0 2
G4 15 46
R 0 2
D4 15 46
R 0 2
G4 15 46
R 0 2
Ab4 15 46
R 0 2
F4 15 46
R 0 2
C4 15 46
R 0 2
F4 15 46
R 0 2
G4 15 46
R 0 2
D4 15 46
R 0 2
B3 15 46
R 0 2
D4 15 46
R 0 2
A4 15 46
R 0 2
Gb4 15 46
R 0 2
Eb4 15 46
R 0 2
Gb4 15 46
R 0 2
G4 15 46
R 0 2
D4 15 46
R 0 2
B3 15 46
R 0 2
G3 15 46
R 0 2
G4 15 94
R 0 2
G4 15 94
R 0 98
G4 15 94
R 0 2
Bb4 15 94
R 0 2
G4 15 94
R 0 98
G4 15 94
R 0 2
Bb4 15 94
R 0 2
G4 15 94
R 0 2
C5 15 94
R 0 2
C5 15 94
R 0 2
C5 15 94
R 0 2
Bb4 15 94
R 0 2
G4 15 94
R 0 2
F4 15 94
R 0 2
A4 15 286
R 0 2
Ab4 15 286
R 0 2
G4 15 190
R 0 194
Bb4 15 190
R 0 2
A4 15 190
R 0 2
Ab4 15 190
R 0 2
G4 15 94
R 0 2
A4 15 94
R 0 2
G4 14 94
R 0 2
A4 14 94
R 0 2
G4 13 94
R 0 2
A4 13 94
R 0 2
G4 12 94
R 0 2
A4 12 94
R 0 2
Gb4 14 94
R 0 2
Ab4 14 94
R 0 2
Gb4 13 94
R 0 2
Ab4 13 94
R 0 2
Gb4 12 94
R 0 2
Ab4 12 94
R 0 2
Gb4 10 94
R 0 2
Ab4 10 94
R 0 2
G4 13 94
R 0 2
A4 13 94
R 0 2
G4 12 94
R 0 2
A4 12 94
R 0 2
G4 10 94
R 0 2
A4 10 94
R 0 2
G4 9 94
R 0 2
A4 9 94
R 0 2
Gb4 12 94
R 0 2
Ab4 12 94
R 0 2
Gb4 10 94
R 0 2
Ab4 10 94
R 0 2
Gb4 9 94
R 0 2
Ab4 9 94
R 0 2
Gb4 8 94
R 0 2
Ab4 8 94
R 0 2
C4 15 94
R 0 2
C4 15 94
R 0 98
C4 15 94
R 0 2
Eb4 15 94
R 0 2
C4 15 94
R 0 98
C4 15 94
R 0 2
Eb4 15 94
R 0 2
C4 15 94
R 0 2
F4 15 94
R 0 2
F4 15 94
R 0 2
F4 15 94
R 0 2
Eb4 15 94
R 0 2
C4 15 94
R 0 2
Bb3 15 94
R 0 2
F4 15 1534
R 0 2
E4 15 766
R 0 2
F4 15 382
R 0 2
G4 15 382
R 0 2
F4 15 1534
R 0 2
E4 15 766
R 0 2
F4 15 46
R 0 2
Db4 15 46
R 0 2
Ab3 15 46
R 0 2
F4 15 46
R 0 2
Db4 15 46
R 0 2
Ab3 15 46
R 0 2
Db4 15 46
R 0 2
F4 15 46
R 0 2
G4 15 46
R 0 2
Eb4 15 46
R 0 2
Bb3 15 46
R 0 2
G4 15 46
R 0 2
Eb4 15 46
R 0 2
Bb3 15 46
R 0 2
Eb4 15 46
R 0 2
G4 15 46
R 0 2
G4 15 1534
CMD 0 0
;Total length 86974
